Table of variables,,,,
Section 1: MRI scan date data,,,,
44,ROCCORT,"Segmented right occipital lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
45,OCCCORT,"Segmented total occipital lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
46,LPARCORT,"Segmented left parietal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
47,RPARCORT,"Segmented right parietal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
48,PARCORT,"Segmented total parietal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
49,LTEMPCOR,"Segmented left temporal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
50,RTEMPCOR,"Segmented right temporal lobe cortical gray
matter volume (cc)",Numeric longitudinal,IDeA Lab
51,TEMPCOR,"Segmented total temporal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
Section 3b. Regional gray matter volumes,,,,
52,LCAC,"Left caudal anterior cingulate gray matter volume
(cc)",Numeric longitudinal,IDeA Lab
53,RCAC,"Right caudal anterior cingulate gray matter volume
(cc)",Numeric longitudinal,IDeA Lab
54,LCMF,Left caudal middle frontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
55,RCMF,"Right caudal middle frontal gray matter volume
(cc)",Numeric longitudinal,IDeA Lab
56,LCUN,Left cuneus gray matter volume (cc),Numeric longitudinal,IDeA Lab
57,RCUN,Right cuneus gray matter volume (cc),Numeric longitudinal,IDeA Lab
58,LENT,Left entorhinal gray matter volume (cc),Numeric longitudinal,IDeA Lab
Researchers Data Dictionary — Imaging Data Page 5,,,,
,,,,
,Variable name,Short descriptor,Data type,Data source
59,RENT,Right entorhinal gray matter volume (cc),Numeric longitudinal,IDeA Lab
60,LFUS,Left fusiform gray matter volume (cc),Numeric longitudinal,IDeA Lab
61,RFUS,Right fusiform gray matter volume (cc),Numeric longitudinal,IDeA Lab
62,LINFPAR,Left inferior parietal gray matter volume (cc),Numeric longitudinal,IDeA Lab
63,RINFPAR,Right inferior parietal gray matter volume (cc),Numeric longitudinal,IDeA Lab
64,LINFTEMP,Left inferior temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
65,RINFTEMP,Right inferior temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
66,LINSULA,Left insula gray matter volume (cc),Numeric longitudinal,IDeA Lab
67,RINSULA,Right insula gray matter volume (cc),Numeric longitudinal,IDeA Lab
68,LISTHC,Left isthmus cingulate gray matter volume (cc),Numeric longitudinal,IDeA Lab
69,RISTHC,Right isthmus cingulate gray matter volume (cc),Numeric longitudinal,IDeA Lab
70,LLATOCC,Left lateral occipital gray matter volume (cc),Numeric longitudinal,IDeA Lab
71,RLATOCC,Right lateral occipital gray matter volume (cc),Numeric longitudinal,IDeA Lab
72,LLATORBF,Left lateral orbitofrontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
73,RLATORBF,Right lateral orbitofrontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
74,LLING,Left lingual gray matter volume (cc),Numeric longitudinal,IDeA Lab
75,RLING,Right lingual gray matter volume (cc),Numeric longitudinal,IDeA Lab
76,LMEDORBF,Left medial orbitofrontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
77,RMEDORBF,Right medial orbitofrontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
78,LMIDTEMP,Left middle temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
79,RMIDTEMP,Right middle temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
80,LPARCEN,Left paracentral gray matter volume (cc),Numeric longitudinal,IDeA Lab
81,RPARCEN,Right paracentral gray matter volume (cc),Numeric longitudinal,IDeA Lab
82,LPARHIP,Left parahippocampal gray matter volume (cc),Numeric longitudinal,IDeA Lab
83,RPARHIP,Right parahippocampal gray matter volume (cc),Numeric longitudinal,IDeA Lab
Researchers Data Dictionary — Imaging Data Page 6,,,,
,,,,
,Variable name,Short descriptor,Data type,Data source
84,LPARSOP,Left pars opercularis gray matter volume (cc),Numeric longitudinal,IDeA Lab
85,RPARSOP,Right pars opercularis gray matter volume (cc),Numeric longitudinal,IDeA Lab
86,LPARORB,Left pars orbitalis gray matter volume (cc),Numeric longitudinal,IDeA Lab
87,RPARORB,Right pars orbitalis gray matter volume (cc),Numeric longitudinal,IDeA Lab
88,LPARTRI,Left pars triangularis gray matter volume (cc),Numeric longitudinal,IDeA Lab
89,RPARTRI,Right pars triangularis gray matter volume (cc),Numeric longitudinal,IDeA Lab
90,LPERCAL,Left pericalcarine gray matter volume (cc),Numeric longitudinal,IDeA Lab
91,RPERCAL,Right pericalcarine gray matter volume (cc),Numeric longitudinal,IDeA Lab
92,LPOSCEN,Left postcentral gray matter volume (cc),Numeric longitudinal,IDeA Lab
93,RPOSCEN,Right postcentral gray matter volume (cc),Numeric longitudinal,IDeA Lab
94,LPOSCIN,Left posterior cingulate gray matter volume (cc),Numeric longitudinal,IDeA Lab
95,RPOSCIN,Right posterior cingulate gray matter volume (cc),Numeric longitudinal,IDeA Lab
96,LPRECEN,Left precentral gray matter volume (cc),Numeric longitudinal,IDeA Lab
97,RPRECEN,Right precentral gray matter volume (cc),Numeric longitudinal,IDeA Lab
98,LPRECUN,Left precuneus gray matter volume (cc),Numeric longitudinal,IDeA Lab
99,RPRECUN,Right precuneus gray matter volume (cc),Numeric longitudinal,IDeA Lab
100,LROSANC,"Left rostral anterior cingulate gray matter volume
(cc)",Numeric longitudinal,IDeA Lab
101,RROSANC,"Right rostral anterior cingulate gray matter volume
(cc)",Numeric longitudinal,IDeA Lab
102,LROSMF,Left rostral middle frontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
103,RROSMF,"Right rostral middle frontal gray matter volume
(cc)",Numeric longitudinal,IDeA Lab
104,LSUPFR,Left superior frontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
105,RSUPFR,Right superior frontal gray matter volume (cc),Numeric longitudinal,IDeA Lab
106,LSUPPAR,Left superior parietal gray matter volume (cc),Numeric longitudinal,IDeA Lab
107,RSUPPAR,Right superior parietal gray matter volume (cc),Numeric longitudinal,IDeA Lab
Researchers Data Dictionary — Imaging Data,,,Page 7,
,,,,
,Variable name,Short descriptor,Data type,Data source
108,LSUPTEM,Left superior temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
109,RSUPTEM,Right superior temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
110,LSUPMAR,Left supramarginal gray matter volume (cc),Numeric longitudinal,IDeA Lab
111,RSUPMAR,Right supramarginal gray matter volume (cc),Numeric longitudinal,IDeA Lab
112,LTRTEM,Left transverse temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
113,RTRTEM,Right transverse temporal gray matter volume (cc),Numeric longitudinal,IDeA Lab
Section 3c. Regional cortical thicknesses,,,,
114,LCACM,"Left caudal anterior cingulate mean cortical
thickness (mm)",Numeric longitudinal,IDeA Lab
115,RCACM,"Right caudal anterior cingulate mean cortical
thickness (mm)",Numeric longitudinal,IDeA Lab
116,LCMFM,"Left caudal middle frontal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
117,RCMFM,"Right caudal middle frontal mean cortical
thickness (mm)",Numeric longitudinal,IDeA Lab
118,LCUNM,Left cuneus mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
119,RCUNM,Right cuneus mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
120,LENTM,Left entorhinal mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
121,RENTM,Right entorhinal mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
122,LFUSM,Left fusiform mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
123,RFUSM,Right fusiform mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
124,LINFPARM,Left inferior parietal mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
125,RINFPARM,"Right inferior parietal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
126,LINFTEMM,"Left inferior temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
127,RINFTEMM,"Right inferior temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
Researchers Data Dictionary — Imaging Data Page 8,,,,
,,,,
,Variable name,Short descriptor,Data type,Data source
128,LINSULAM,Left insula mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
129,RINSULAM,Right insula mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
130,LISTHCM,"Left isthmus cingulate mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
131,RISTHCM,"Right isthmus cingulate mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
132,LLATOCCM,Left lateral occipital mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
133,RLATOCCM,"Right lateral occipital mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
134,LLATORBM,"Left lateral orbitofrontal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
135,RLATORBM,"Right lateral orbitofrontal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
136,LLINGM,Left lingual mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
137,RLINGM,Right lingual mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
138,LMEDORBM,"Left medial orbitofrontal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
139,RMEDORBM,"Right medial orbitofrontal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
140,LMIDTEMM,"Left middle temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
141,RMIDTEMM,"Right middle temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
142,LPARCENM,Left paracentral mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
143,RPARCENM,Right paracentral mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
144,LPARHIPM,"Left parahippocampal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
145,RPARHIPM,"Right parahippocampal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
146,LPARSOPM,"Left pars opercularis mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
Researchers Data Dictionary — Imaging Data Page 9,,,,
,,,,
,Variable name,Short descriptor,Data type,Data source
147,RPARSOPM,"Right pars opercularis mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
148,LPARORBM,Left pars orbitalis mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
149,RPARORBM,Right pars orbitalis mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
150,LPARTRIM,"Left pars triangularis mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
151,RPARTRIM,"Right pars triangularis mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
152,LPERCALM,Left pericalcarine mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
153,RPERCALM,Right pericalcarine mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
154,LPOSCENM,Left postcentral mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
155,RPOSCENM,Right postcentral mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
156,LPOSCINM,"Left posterior cingulate mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
157,RPOSCINM,"Right posterior cingulate mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
158,LPRECENM,Left precentral mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
159,RPRECENM,Right precentral mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
160,LPRECUNM,Left precuneus mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
161,RPRECUNM,Right precuneus mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
162,LROSANCM,"Left rostral anterior cingulate mean cortical
thickness (mm)",Numeric longitudinal,IDeA Lab
163,RROSANCM,"Right rostral anterior cingulate mean cortical
thickness (mm)",Numeric longitudinal,IDeA Lab
164,LROSMFM,"Left rostral middle frontal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
165,RROSMFM,"Right rostral middle frontal mean cortical
thickness (mm)",Numeric longitudinal,IDeA Lab
166,LSUPFRM,Left superior frontal mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
167,RSUPFRM,"Right superior frontal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
Researchers Data Dictionary — Imaging Data,,,Page 10,
,,,,
,Variable name,Short descriptor,Data type,Data source
168,LSUPPARM,"Left superior parietal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
169,RSUPPARM,"Right superior parietal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
170,LSUPTEMM,"Left superior temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
171,RSUPTEMM,"Right superior temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
172,LSUPMARM,Left supramarginal mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
173,RSUPMARM,Right supramarginal mean cortical thickness (mm),Numeric longitudinal,IDeA Lab
174,LTRTEMM,"Left transverse temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
175,RTRTEMM,"Right transverse temporal mean cortical thickness
(mm)",Numeric longitudinal,IDeA Lab
Section 4: PET scan data,,,,
176,APETMO,Month amyloid PET scan performed,Numeric longitudinal,"PET DICOM
header"
177,APETDY,Day amyloid PET scan performed,Numeric longitudinal,"PET DICOM
header"
178,APETYR,Year amyloid PET scan performed,Numeric longitudinal,"PET DICOM
header"
179,NACCAPTA,Subject age at time of amyloid PET scan,Numeric longitudinal,NACC derived
19-,NACCAPTF,Amyloid PET scan file locator variable,Character longitudinal,NACC derived
181,NACCAPNM,Amyloid PET scan in chronological order,Numeric longitudinal,NACC derived
182,NACCAPTD,"Days between amyloid PET scan and closest UDS
visit",Numeric longitudinal,NACC derived
183,APETMANU,Manufacturer,Numeric longitudinal,"PET DICOM
header"
184,APETMODL,Manufacturer’s model name,Numeric longitudinal,"PET DICOM
header"
185,NACCNAPA,Total number of amyloid PET scans available,Numeric cross-sectional,NACC derived
Researchers Data Dictionary — Imaging Data,,,Page 11,
,,,,
,Variable name,Short descriptor,Data type,Data source
186,NACCAPSA,At least one amyloid PET scan available (y/n),Numeric cross-sectional,NACC derived
187,LIGANDN,Amyloid tracer used for PET scan,Numeric longitudinal,ADC
Researchers Data Dictionary — Imaging Data Page 12,,,,
,,,,
Variable definitions,,,,
Section 1: MRI scan date information,,,,
1,Variable name,NACCDICO,,
,Short descriptor,DICOM image file available (y / n),,
,Data type,Numeric longitudinal,,
,Data source,NACC derived,,
,Allowable codes,"0 = No, MRI DICOM format not available
1 = Yes, MRI DICOM format available",,
,Description / derivation,This variable flags MRI scans that are available in DICOM format.,,
2,Variable name,NACCNIFT,,
,Short descriptor,NIfTI image file available (y / n),,
,Data type,Numeric longitudinal,,
,Data source,NACC derived,,
,Allowable codes,"0 = No, MRI NIfTI format not available
1 = Yes, MRI NIfTI format available",,
,Description / derivation,This variable flags MRI scans that are available in NIfTI format.,,
3,Variable name,MRIMO,,
,Short descriptor,Month MRI performed,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0–12
88 = Not applicable / no MRI available",,
,Description / derivation,This variable indicates the month during which the MRI was performed.,,
4,Variable name,MRIDY,,
,Short descriptor,Day MRI performed,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0–31
88 = Not applicable / no MRI available",,
,Description / derivation,"This variable indicates the day of the month during which the MRI
was performed.",,
5,Variable name,MRIYR,,
,Short descriptor,Year MRI performed,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"2000 – current year
8888 = Not applicable / no MRI available",,
,Description / derivation,This variable indicates the year during which the MRI was performed.,,
Researchers Data Dictionary — Imaging Data,,Page 13,,
,,,,
6,Variable name,NACCMRIA,,
,Short descriptor,Subject age at time of MRI,,
,Data type,Numeric longitudinal,,
,Data source,NACC derived,,
,Allowable codes,"18 –120
888 = Not applicable / no MRI available",,
,Description / derivation,"This variable provides the subject’s age at the time of the MRI session. Birth
month and birth year are required elements in the UDS; however, birth day
is not collected. To calculate age at MRI, birth day is set to 1 for all UDS
subjects, and NACCMRIA is computed as MRI date – birth date.",,
7,Variable name,NACCMRFI,,
,Short descriptor,MRI file locator variable,,
,Data type,Character longitudinal,,
,Data source,NACC derived,,
,Allowable codes,"“MRI” followed by four digits and “.zip”
Blank = No file available / no MRI available",,
,Description / derivation,This variable provides a unique identifier for the MRI zip file.,,
8,Variable name,NACCNMRI,,
,Short descriptor,Total number of MRI sessions,,
,Data type,Numeric cross-sectional,,
,Data source,NACC derived,,
,Allowable codes,"1– 20
88 = Not applicable / no MRI available",,
,Description / derivation,"This variable provides the number of MRI sessions a UDS subject has in the
NACC database, regardless of time between sessions. Note that while this
variable is listed for all visits, it does not change across visits; it is cross-sec-
tional.",,
9,Variable name,NACCMNUM,,
,Short descriptor,MRI session in chronological order,,
,Data type,Numeric longitudinal,,
,Data source,NACC derived,,
,Allowable codes,"1– 20
88 = Not applicable / no MRI available",,
,Description / derivation,"This variable assigns a number to each MRI session per subject ID, in
chronological order, beginning with the first MRI available at NACC.",,
Researchers Data Dictionary — Imaging Data,,Page 14,,
,,,,
10,Variable name,NACCMRDY,,
,Short descriptor,Days between MRI and closest UDS visit,,
,Data type,Numeric longitudinal,,
,Data source,NACC derived,,
,Allowable codes,"–3650 to 3650
8888 = Not applicable / no MRI available",,
,Description / derivation,"This variable is the MRI date minus the closest UDS visit date for every
MRI. For MRI sessions the closest visit date, NACCMRDY < 0, and for MRI
sessions after the closest visit date, NACCMRDY > 0.",,
11,Variable name,NACCMRSA,,
,Short descriptor,At least one MRI scan available,,
,Data type,Numeric cross-sectional,,
,Data source,NACC derived,,
,Allowable codes,"0 = No; does not have at least one MRI available at NACC
1 = Yes; has at least one MRI available at NACC",,
,Description / derivation,Records the volume of temporal CSF for a given MRI.,,
Section 2: MRI sequence type and other series-associated data,,,,
11,Variable name,MRIT1,,
,Short descriptor,MRI sequence type — T1,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0 = T1 not available
1 = T1 available
8 = Not applicable / no MRI available",,
,Description / derivation,"This variable is determined from the DICOM tag (0008,103E) “Series
Description” in the MR image header.",,
12,Variable name,MRIT2,,
,Short descriptor,MRI sequence type — T2,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0 = T2 not available
1 = T2 available
8 = Not applicable / no MRI available",,
,Description / derivation,"This variable is determined from the DICOM tag (0008,103E) “Series
Description” in the MR image header.",,
Researchers Data Dictionary — Imaging Data,,Page 15,,
,,,,
13,Variable name,MRIDTI,,
,Short descriptor,MRI sequence type — DTI,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0 = DTI not available
1 = DTI available
8 = Not applicable / no MRI available",,
,Description / derivation,"This variable is determined from the DICOM tag (0008,103E) “Series
Description” in the MR image header.",,
14,Variable name,MRIDWI,,
,Short descriptor,MRI sequence type — DWI,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0 = DWI not available
1 = DWI available
8 = Not applicable / no MRI available",,
,Description / derivation,"This variable is determined from the DICOM tag (0008,103E) “Series
Description” in the MR image header.",,
15,Variable name,MRIFLAIR,,
,Short descriptor,MRI sequence type — FLAIR,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0 = Flair not available
1 = Flair available
8 = Not applicable / no MRI available",,
,Description / derivation,"This variable is determined from the DICOM tag (0008,103E) “Series
Description” in the MR image header.",,
16,Variable name,MRIOTHER,,
,Short descriptor,MRI sequence type — other,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,"0 = Other scan type not available
1 = Other scan type available
8 = Not applicable / no MRI available",,
,Description / derivation,"This variable is determined from the DICOM tag (0008,103E) “Series
Description” in the MR image header.",,
Researchers Data Dictionary — Imaging Data,,Page 16,,
,,,,
17,Variable name,MRIFIELD,,
,Short descriptor,Magnetic field strength (T),,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,1,=,1.5
,,2,=,3.0
,,5,=,Other
,,7,=,Field strength varies across images
,,8,=,Not applicable / no MRI available
,,9,=,Missing / unknown
,Description / derivation,"This variable is derived from the DICOM tag (0018,0087) “Magnetic field",,
,,"strength” in the MR image header. Where applicable, units of gauss were",,
,,converted to tesla (1 gauss = 1x104 T).,,
,,"Note: The format of the DICOM header data is not consistent across Centers,",,
,,"sessions, sequences, and possibly even images within a given sequence. To",,
,,"help identify images with certain technical properties, NACC has created",,
,,this variable from text strings contained within the DICOM tags. Analysts,,
,,should confirm these data by examining the DICOM header data.,,
18,Variable name,MRIMANU,,
,Short descriptor,Manufacturer,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,1 = GE,,
,,2 = Siemens,,
,,3 = Phillips,,
,,5 = Other,,
,,8 = Not applicable / no MRI available,,
,,9 = Missing / unknown,,
,Description / derivation,"This variable is determined from the DICOM tag (0008,0070)",,
,,“Manufacturer” in the MR image header.,,
,,"Note: The format of the DICOM header data is not consistent across Centers,",,
,,"sessions, sequences, and possibly even images within a given sequence. To",,
,,"help identify images with certain technical properties, NACC has created",,
,,this variable from text strings contained within the DICOM tags. Analysts,,
,,should confirm these data by examining the DICOM header data.,,
Researchers Data Dictionary — Imaging Data,,,,Page 17
,,,,
19,Variable name,MRIMODL,,
,Short descriptor,Manufacturer’s model name,,
,Data type,Numeric longitudinal,,
,Data source,MRI DICOM header,,
,Allowable codes,1 = DISCOVERY MR 750,,
,,2 = GENESIS SIGNA,,
,,3 = SIGNA HDxt,,
,,4 = Trio Tim,,
,,5 = Eclipse 1.5T,,
,,6 = Allegra,,
,,7 = SIGNA EXCITE,,
,,8 = SIGNA,,
,,9 = GEMINI,,
,,10 = Ingenuity,,
,,11 = Sonata,,
,,12 = Skyra,,
,,13 = Signa HDx,,
,,14 = Achieva,,
,,15 = Prisma,,
,,16 = Verio,,
,,88 = Not applicable / no MRI available,,
,,99 = Missing / unknown,,
,Description / derivation,"This variable is determined from the DICOM tag (0008,1090)",,
,,“Manufacturer’s model name” in the MR image header.,,
,,"Note: The format of the DICOM header data is not consistent across Centers,",,
,,"sessions, sequences, and possibly even images within a given sequence. To",,
,,"help identify images with certain technical properties, NACC has created",,
,,this variable from text strings contained within the DICOM tags. Analysts,,
,,should confirm these data by examining the DICOM header data.,,
Researchers Data Dictionary — Imaging Data,,Page 18,,
,,,,
Section 3: MRI calculated summary data,,,,
"Calculated summary data for NACC MRIs are provided by the IDeA Lab at University of California, Davis. All original",,,,
"total and lobar volumes are calculated per the ADNI four-tissue segmentation protocol, and hippocampal volume is",,,,
calculated per the EADC-ADNI harmonized protocol. Documents describing calculation methods and protocols are,,,,
provided to the investigator at the time of the data request.,,,,
Section 3a. Gross volume definitions,,,,
20,Variable name,NACCMVOL,,
,Short descriptor,Calculated summary data available (y / n),,
,Data type,Numeric longitudinal,,
,Data source,NACC derived,,
,Missing codes,"0 = No, calculated summary data available for this MRI
1 = Yes, calculated summary data is available for this MRI
8 = Not applicable / no MRI available",,
,Description / derivation,Indicates MRIs with corresponding calculated summary data available.,,
21,Variable name,NACCICV,,
,Short descriptor,Total intracranial volume (cc),,
,Data type,Numeric longitudinal,,
,Data source,NACC derived,,
,Variable length,XXXX.XXX,,
,Missing codes,"8888.888 = Not applicable / no MRI available / calculations not performed
9999.999 = Missing / could not calculate",,
,Description / derivation,Records the total intracranial volume for a given MRI by summing,,
,,"gray matter, white matter, CSF, and white matter hyperintensities",,
